Driver,Time
No Seatbelt,17:06:06
No Seatbelt,17:06:21
No Seatbelt,17:06:43
No Seatbelt,17:06:43
No Seatbelt,17:06:44
No Seatbelt,17:06:44
No Seatbelt,17:06:44
No Seatbelt,17:06:44
No Seatbelt,17:06:45
No Seatbelt,17:06:45
No Seatbelt,17:06:45
No Seatbelt,17:06:45
No Seatbelt,17:06:45
No Seatbelt,17:06:46
No Seatbelt,17:06:46
No Seatbelt,17:06:46
No Seatbelt,17:06:46
No Seatbelt,17:06:47
No Seatbelt,17:06:47
No Seatbelt,17:06:47
No Seatbelt,17:06:48
No Seatbelt,17:06:48
No Seatbelt,17:06:48
No Seatbelt,17:06:48
No Seatbelt,17:06:49
No Seatbelt,17:06:49
No Seatbelt,17:06:49
No Seatbelt,17:06:50
No Seatbelt,17:06:51
No Seatbelt,17:06:51
No Seatbelt,17:06:51
No Seatbelt,17:06:51
No Seatbelt,17:09:50
No Seatbelt,17:09:56
No Seatbelt,17:15:15
Distracted,17:18:22
Distracted,17:19:03
Distracted,17:19:03
Distracted,17:19:03
Distracted,17:19:03
Distracted,17:19:04
Distracted,17:19:04
No Seatbelt,17:20:57
Distracted,17:20:58
No Seatbelt,17:21:00
Distracted,17:21:00
No Seatbelt,17:21:00
Distracted,17:21:00
No Seatbelt,17:21:00
Distracted,17:21:00
No Seatbelt,17:21:00
Distracted,17:21:01
No Seatbelt,17:21:01
Distracted,17:21:01
No Seatbelt,17:21:01
Distracted,17:21:01
No Seatbelt,17:21:01
Distracted,17:21:01
No Seatbelt,17:27:11
Distracted,17:27:12
No Seatbelt,17:30:07
Distracted,17:30:08
No Seatbelt,17:31:22
Distracted,17:31:24
No Seatbelt,17:32:17
Distracted,17:32:18
No Seatbelt,17:33:59
Distracted,17:34:01
No Seatbelt,19:34:07
Distracted,19:34:07
No Seatbelt,19:34:09
Distracted,19:34:09
No Seatbelt,19:34:11
Distracted,19:34:11
No Seatbelt,19:34:13
Distracted,19:34:13
No Seatbelt,19:34:15
Distracted,19:34:15
No Seatbelt,19:34:17
Distracted,19:34:17
No Seatbelt,19:34:20
Distracted,19:34:20
No Seatbelt,19:34:22
Distracted,19:34:22
No Seatbelt,19:34:24
Distracted,19:34:24
No Seatbelt,19:34:26
Distracted,19:34:26
No Seatbelt,19:34:29
Distracted,19:34:29
No Seatbelt,19:34:31
Distracted,19:34:31
No Seatbelt,19:34:33
Distracted,19:34:33
No Seatbelt,19:34:35
Distracted,19:34:35
No Seatbelt,19:34:37
Distracted,19:34:37
No Seatbelt,19:34:39
Distracted,19:34:39
No Seatbelt,19:34:41
Distracted,19:34:41
No Seatbelt,19:34:43
Distracted,19:34:43
No Seatbelt,19:34:46
Distracted,19:34:46
No Seatbelt,19:34:49
Distracted,19:34:49
No Seatbelt,22:36:37
Distracted,22:36:39
No Seatbelt,22:37:48
Distracted,22:37:48
No Seatbelt,22:38:28
Distracted,22:38:29
No Seatbelt,22:38:37
Distracted,22:38:37
No Seatbelt,22:38:40
Distracted,22:38:40
No Seatbelt,22:38:42
Distracted,22:38:43
No Seatbelt,22:38:49
Distracted,22:38:49
No Seatbelt,13:29:11
No Seatbelt,13:29:21
Distracted,13:29:21
No Seatbelt,13:29:22
Distracted,13:29:22
No Seatbelt,13:29:24
Distracted,13:29:24
No Seatbelt,13:29:24
Distracted,13:29:25
No Seatbelt,13:29:25
Distracted,13:29:25
No Seatbelt,13:29:25
Distracted,13:29:25
No Seatbelt,13:29:25
Distracted,13:29:26
No Seatbelt,13:29:26
Distracted,13:29:26
No Seatbelt,13:29:26
Distracted,13:29:26
No Seatbelt,13:29:27
Distracted,13:29:27
No Seatbelt,13:29:28
Distracted,13:29:28
No Seatbelt,13:29:38
Distracted,13:29:38
No Seatbelt,13:29:39
Distracted,13:29:39
No Seatbelt,13:29:40
No Seatbelt,13:29:40
No Seatbelt,13:29:40
No Seatbelt,13:29:41
No Seatbelt,13:29:43
Distracted,13:29:43
No Seatbelt,13:29:43
Distracted,13:29:43
No Seatbelt,13:29:43
Distracted,13:29:43
No Seatbelt,13:29:44
No Seatbelt,13:29:44
No Seatbelt,13:29:47
No Seatbelt,13:29:47
No Seatbelt,13:29:50
No Seatbelt,13:29:57
No Seatbelt,13:30:01
Distracted,13:30:01
No Seatbelt,13:30:02
Distracted,13:30:02
No Seatbelt,13:30:02
Distracted,13:30:02
No Seatbelt,13:30:03
Distracted,13:30:03
No Seatbelt,13:30:04
Distracted,13:30:04
No Seatbelt,13:30:04
Distracted,13:30:04
No Seatbelt,13:30:04
Distracted,13:30:04
No Seatbelt,13:30:06
Distracted,13:30:06
No Seatbelt,13:30:12
Distracted,13:30:12
No Seatbelt,13:30:12
Distracted,13:30:12
No Seatbelt,13:30:13
Distracted,13:30:13
No Seatbelt,13:30:13
Distracted,13:30:13
No Seatbelt,13:30:13
Distracted,13:30:13
No Seatbelt,13:30:13
Distracted,13:30:13
No Seatbelt,13:30:14
Distracted,13:30:14
No Seatbelt,13:30:15
Distracted,13:30:15
No Seatbelt,13:30:15
Distracted,13:30:15
No Seatbelt,13:30:15
Distracted,13:30:15
No Seatbelt,13:30:19
Distracted,13:30:19
No Seatbelt,13:30:25
Distracted,13:30:25
No Seatbelt,13:30:29
No Seatbelt,13:30:30
No Seatbelt,13:30:30
No Seatbelt,13:30:30
Distracted,13:30:30
No Seatbelt,13:30:30
No Seatbelt,13:30:31
No Seatbelt,13:30:31
No Seatbelt,13:30:31
No Seatbelt,13:30:31
No Seatbelt,13:30:32
No Seatbelt,13:30:32
No Seatbelt,13:30:32
No Seatbelt,13:30:32
No Seatbelt,13:30:33
No Seatbelt,13:30:33
No Seatbelt,13:30:33
No Seatbelt,13:30:33
Distracted,13:30:34
No Seatbelt,13:30:34
No Seatbelt,13:30:35
No Seatbelt,13:30:35
No Seatbelt,13:30:35
No Seatbelt,13:30:35
No Seatbelt,13:30:36
No Seatbelt,13:30:37
No Seatbelt,13:30:38
No Seatbelt,13:30:38
No Seatbelt,13:30:38
No Seatbelt,13:30:39
No Seatbelt,13:30:39
No Seatbelt,13:30:39
No Seatbelt,13:30:39
No Seatbelt,13:30:41
No Seatbelt,13:30:42
No Seatbelt,13:30:42
No Seatbelt,13:30:43
No Seatbelt,13:30:46
Distracted,13:30:46
No Seatbelt,13:30:46
No Seatbelt,13:30:46
No Seatbelt,13:30:46
No Seatbelt,13:30:47
No Seatbelt,13:30:47
No Seatbelt,13:30:47
No Seatbelt,13:30:48
Distracted,13:30:48
No Seatbelt,13:30:48
Distracted,13:30:48
No Seatbelt,13:30:48
Distracted,13:30:48
